128 128
1.53131e+06 (29675.8,86345.5) (22575.8,11846.1) (45971.4,-24467.3) (-35128.5,42725.6) (-2616.6,8334.54) (31603.8,7831.16) (-58308,20688.3) (20322.5,28909.8) (-14359.4,-5107.62) (-50650.8,-13296.8) (12718.8,-10355) (-16081.8,1609.4) (8881.45,-15324.9) (3114.9,-10578.4) (5727.94,-9211.4) (-1544.26,2946.81) (5884.37,-6421.19) (-3664.11,13601.3) (5244.08,-11171.2) (1903.37,7155.87) (-4783.44,-2384.88) (3454.51,4277.7) (-1687.66,1599.51) (9749.93,-14271.6) (-1680.77,5271.01) (5580.97,3388.93) (2301.7,-3305.45) (1128.25,2000.84) (4872.18,154.552) (-1392.86,300.423) (242.043,6810.01) (-1635.51,1043.19) (3.52101,1634.05) (-6178.37,1424.85) (1306.34,-1441.5) (-5850.9,-279.525) (959.61,-2749.32) (-1603.63,4463.6) (-154.261,-3223.18) (-4057.84,2309.41) (-2447.24,603.791) (-195.482,-344.165) (-1144.97,41.7218) (-2068.12,2836.27) (-2903.41,-3641.58) (452.551,1250.98) (-1712.45,263.269) (-329.73,-942.922) (-189.352,483.307) (644.556,-1628.53) (843.957,1472.43) (-2051.49,525.471) (-911.712,-648.148) (555.282,-461.662) (-161.221,434.433) (-78.3054,367.28) (-168.91,-225.746) (-565.952,-982.021) (-733.746,-507.75) (1285.75,320.104) (-485.373,891.284) (-898.795,-450.341) (86.6284,738.368) (-709,-0.594189) (86.9181,-738.29) (-898.774,450.29) (-485.524,-891.337) (1285.05,-321.158) (-732.384,507.739) (-566.097,982.694) (-168.926,226.208) (-78.1284,-366.742) (-161.613,-434.418) (555.554,461.564) (-912.201,648.825) (-2050.9,-525.819) (844.08,-1472.98) (644.483,1627.28) (-189.636,-483.585) (-329.692,942.69) (-1712.31,-263.017) (452.366,-1250.53) (-2902.38,3641.37) (-2068.64,-2836.41) (-1145.98,-41.3158) (-196.135,343.685) (-2446.59,-603.956) (-4057.87,-2308.95) (-153.569,3222.48) (-1606.44,-4463.6) (960.26,2749.89) (-5851.36,280.137) (1306.14,1441.48) (-6178.54,-1425.55) (2.78003,-1634.05) (-1635.34,-1044.82) (241.258,-6809.31) (-1393.06,-300.053) (4873.43,-153.764) (1130.37,-1999.34) (2300.74,3306.41) (5580.52,-3390.36) (-1680.44,-5271.55) (9751.23,14272) (-1688.05,-1599.09) (3455.46,-4277.44) (-4783.63,2384.39) (1902.85,-7156.06) (5244.14,11171.3) (-3664.15,-13599.3) (5884.23,6421.09) (-1541.27,-2946.64) (5727.92,9211.8) (3114.58,10578.5) (8881.33,15325) (-16081.4,-1608.29) (12716.5,10352.7) (-50651.3,13297.9) (-14359.4,5110.74) (20322.8,-28909.8) (-58312,-20685.9) (31601.5,-7830.9) (-2616.96,-8335.16) (-35130.1,-42725.6) (45971.1,24471.1) (22569.8,-11846.3) (29674.5,-86345.8) 
(-89864.9,-99859.1) (-11074,-52472.3) (38488.4,-18145.2) (-73384.7,-26079) (27671.3,7426.77) (-11959.4,-13270.7) (-40050.2,-27180.8) (29825.9,22469.1) (22931,-30553.3) (-13236.2,-30655.4) (37574.7,34529.6) (-12988.4,-2224.44) (9148.14,16654) (-2594.61,7413.15) (-9794.72,6036.54) (-11011.8,13525.7) (-4691.01,1921.22) (-6839.86,7299.26) (608.618,-2849.53) (-3932.3,9760.39) (-2121.31,-2458.81) (-1522.64,6648.84) (-1739.08,1123.69) (5490.43,4122.08) (-8329.23,5344.6) (-827.211,587.964) (-3936.85,2800.96) (-3740.06,-1180.97) (-302.498,897.145) (-6380.32,-6199.36) (-1792.96,3348.15) (-666.257,-6599.43) (1533.5,-1056.17) (-4042.72,-2095.2) (2236.71,204.928) (-3865.79,1472.03) (4323.9,-1292.75) (-1052.97,803.332) (425.733,-3258.6) (-2135.32,-167.369) (-1174.53,923.891) (-1427.16,1361.02) (-723.688,-924.725) (-1283.08,-802.55) (-798.371,-84.1465) (-869.805,3090.04) (-1495.51,-562.547) (-328.173,-785.604) (-1915.65,60.1864) (-688.301,696.975) (-3455.47,1243.61) (-1051.51,-2011.95) (314.188,1205.34) (-334.674,785.533) (-1856.47,460.585) (-1706.96,694.241) (-739.836,-251.802) (-993.577,-142.959) (-1287.19,-105.52) (-1451.61,1260.37) (-641.197,-1197.24) (-410.521,-506.309) (-715.793,898.902) (-988.989,-513.684) (-983.646,92.6716) (-1018.15,28.4953) (-261.824,33.0267) (112.794,278.377) (-2114.75,-228.554) (-388.933,-632.866) (-762.461,648.134) (-594.99,-1755.75) (-390.229,-801.65) (-660.636,90.0936) (-1192.88,-791.242) (8.91612,-910.071) (-591.742,688.822) (-2559.76,-691.786) (-1150.69,-2358.82) (-2862.24,-1280.84) (-468.975,-1912.96) (995.416,-1453.58) (-4413.33,-982.208) (3961.11,-4689.25) (-3034.38,1298.29) (907.633,-823.616) (-564.847,-3242.91) (-49.6388,-2176.35) (-3243.07,2180.35) (645.443,-4213.38) (743.93,1598.78) (-1198.1,-6772.32) (540.095,-700.399) (-637.747,-3020.26) (4930.13,1506.93) (140.975,4721.58) (2611.28,-3004.07) (-3688.68,9749.22) (-769.084,3366.27) (-2064.37,-2658.59) (-4658.67,6090.32) (9791.48,-2984.69) (-7861.36,-2944.98) (-6079.37,11485) (1981.9,-13704) (2656.93,-6434.09) (-11642.8,503.018) (10496,-2917.36) (-8376.76,4017.59) (2384.55,-16802.4) (-3194.77,11885.3) (-67.3069,-19057.6) (-4328.96,4603.31) (1125.61,-5809.06) (-6886.11,-18875.5) (-1879.03,-9349.75) (7980.02,-4681.78) (-24038.5,-34680.8) (28100.8,-2135.38) (56143,7584.11) (-10586.1,-33566) (47949.1,54507.6) (9160.02,-9537.49) (-20461.7,16134.7) (20653.6,53399.2) (-11647.7,-65687.3) (12260.7,31713.2) (-10516.7,75918.7) 
(-25927,-37147.4) (-17271.5,13475.7) (32115.3,-55477.8) (7662.71,42501.3) (6141.31,-15950) (-5712.83,18624.6) (8464.11,19500) (16394.3,-8123.66) (-15264.9,-15813.5) (-14532.6,35694.9) (-17681.4,-27812.7) (-3445.56,-2466.96) (5398.89,-7893.78) (2482.24,-15291.6) (-635.7,258.676) (3096.74,-6402.08) (-1005.65,3022.85) (5203.7,-6064.74) (1399.1,3147.01) (6277.13,-3978.04) (-1252.63,-1058.19) (1088.4,3555.08) (5835.03,-3105.2) (1180.15,-8868.76) (3640.51,-5330.35) (3883.63,-998.084) (8671.32,-3158.59) (1712.34,1845.14) (4156.53,-5104.65) (230.481,3432.21) (4776.34,-4416.29) (1619.18,813.351) (2236.63,-191.583) (439.321,1231.17) (-922.698,-1579.43) (1108.93,1339.61) (1766.67,-1186.61) (2071.35,-1868.08) (-1325.14,1225.32) (-1504.26,1964.67) (-1494.29,-778.053) (1618.8,221.734) (1298.29,-2966.78) (163.302,108.984) (1308.68,971.797) (1410.17,-258.929) (1419.87,-3.07721) (507.646,674.594) (746.31,810.476) (1315.57,-1818.42) (2985.21,1145.8) (305.474,1932.98) (-854.659,349.843) (451.122,-1859.29) (697.435,-460.066) (2812.8,-849.104) (2045.68,80.6608) (164.79,-415.255) (360.971,-378.499) (1287.8,-47.8916) (286.255,36.1404) (136.398,431.401) (687.58,-255.737) (410.209,755.247) (1653.24,746.999) (740.582,-533.161) (176.437,283.364) (824.84,-601.318) (1607.32,472.925) (365.902,1297.92) (2082.54,704.098) (949.004,121.623) (492.699,1515.85) (1180.41,-936.261) (2139.9,2154.63) (-7.10725,-435.593) (2889.44,-1081.78) (1539.87,1051.79) (1625.17,880.552) (4507.21,1965.09) (2399.64,2501.26) (-2286.96,69.316) (5175.16,4301.63) (-6434.09,152.428) (3505.05,596.385) (3660.41,574.311) (-2397.29,2937.2) (-2611.15,4592.57) (1272.62,-2044.6) (-3939.53,1156.26) (2780.79,-4468.55) (2390.53,4163.11) (-3958.57,2694.7) (-273.716,4595.71) (-7567.33,2397.66) (522.224,-2456.23) (-7793.8,1583.86) (-584.065,-6993.13) (6253.24,-349.112) (-3927.22,2318.48) (12598.4,2630.2) (-9863.42,-9615.08) (1939.03,8328.73) (15566.2,-4381.82) (611.563,10008.6) (-1424.09,4095.71) (10132,7082.95) (-8669.59,1430.62) (11087.8,-1075.57) (-3782.69,12014.4) (9008.94,-6239.13) (-4182.54,11183.6) (-4409.76,4679.83) (13677,2402.47) (-4206.87,15334.8) (11568.6,5620.76) (4277.91,-4101.5) (1912.21,54428.8) (-4384.42,34345.8) (-17336.7,-25879.3) (-29885.5,47376) (-18929.9,-32867.6) (-24367.1,7559.74) (-528.881,-14607.2) (7024.92,-52205) (-16118.4,10134.3) (66505.6,22979) (32972.2,52972.1) 
(41577.8,35642.9) (-1135.96,1445.52) (16449.9,4725.09) (1938.33,-14341.8) (-18042.5,-16132.6) (28627.6,-6609.6) (20215.2,-12819.2) (2440.32,-6304.6) (5092.34,-1256.58) (20494.7,-17126.7) (11784,17535.7) (7927.05,7622.48) (-532.267,513.847) (-6863.89,3085.26) (328.929,-690.849) (840.256,5377.77) (7532.11,3973.93) (2384.81,5285.57) (9.88774,-233.239) (1326.9,2037.24) (1460.67,3546.24) (6671.2,-32.2955) (1447.78,-354.256) (-223.166,2824.39) (-1542.88,6017.75) (3262.57,2853.76) (-3719.67,-2191.43) (3665.47,440.962) (-2119.17,112.213) (1684.91,1625.72) (-1525.58,1581.42) (-1858.1,-665.495) (-1419.32,-1985.27) (1525.42,-101.518) (1230.67,940.578) (-1796.82,1234.25) (997.705,2612.09) (-2653.57,828.646) (-1124.89,-577.232) (1742.27,823.401) (3043.15,4681.17) (-547.483,-7.67336) (-1160.01,2321.84) (-276.028,3135.27) (-270.829,-147.869) (127.599,2126.03) (-1156.29,120.925) (176.631,-72.9325) (1221.37,-265.838) (-957.885,1510.3) (-1475.79,-428.24) (1431.82,-844.198) (1354.53,1637.49) (73.4982,1447.26) (551.031,948.061) (-1595.05,447.558) (-1019.67,-82.9878) (-838.791,452.848) (-1137.41,1140.03) (-1027.68,356.951) (486.702,1104.99) (354.202,945.555) (-392.564,305.613) (145.571,2564.18) (-290.75,-1137.44) (-627.375,2165.13) (10.1257,1030.72) (-541.065,1561.72) (-1515.51,749.987) (933.958,1127.6) (-1403.5,965.527) (-2410.45,894.984) (238.273,493.406) (-1685.67,1778.31) (-817.597,-578.374) (470.999,3011.95) (-2293.11,370.187) (-2415,358.36) (-1202.17,3084.58) (-3859.82,-1714.21) (-2317.35,-1583.76) (-68.9534,3925.63) (-1992.56,-6484.03) (1673.23,3093.24) (-1221.3,2163.57) (-4063.12,-3592.03) (-651.969,1346.78) (1134.02,-633.477) (-2526.27,-444.567) (1067.61,-237.185) (-2112.78,4267.29) (-2378.56,-730.248) (2873.83,26.3173) (-2769.93,-2232.77) (7317.3,-3034.26) (-3107.21,626.168) (9154.64,2467.46) (-3554.29,10722) (-4270.17,1077.89) (5759.74,8354.55) (-6103.39,-9291.17) (-5536.65,15852.3) (5594.5,3848.19) (-12573.6,-1782.16) (-3815.97,-795.006) (-250.803,-1999.88) (-8432.59,-6202.57) (4363.68,3581.55) (-7790.46,-324.903) (2086.63,-10193.5) (-9447.17,4035.07) (-2966.98,-7563.41) (3435.2,8562.9) (-11569.8,-9653.56) (1702.66,-3041.31) (-17968.8,-178.384) (-30609.9,1157.14) (9122.11,-18996.4) (18063,-37315.6) (-13061.3,6153.6) (36963.2,-26956.9) (-8461.67,23049.2) (43907.1,14004.2) (-19154.5,-1418.25) (-29507.6,32763.3) (-32537.9,-14992.8) (-47353,-5744.89) (-118078,-26545.8) 
(-20520,23648.9) (24858.6,-15521.9) (-13680.2,-40149.7) (16913.4,17095.8) (-14584.7,32359.5) (-25245,11101.6) (-1392.82,-22342.4) (-4717.03,-5323.75) (-5865.57,-2361.33) (-12441.5,3200.58) (-7063.84,-4156.1) (-8457.76,-13085) (2821.94,-5106.11) (1735.88,-676.718) (-2477.42,6798.22) (-142.683,1661.07) (-3883.3,-1120.34) (-577.047,-11340.7) (-4318.13,-486.577) (171.957,-3013.91) (-427.632,-1737.79) (-3966.75,-3362.39) (-521.514,-4162.45) (-3825.7,-2940.47) (1236.42,-5604.49) (2638.14,-4411.4) (-1027.19,110.837) (-1634.43,-2350.19) (-2862.58,-1413.37) (-3215.09,-3615.54) (-1676.24,-4414.42) (1583.18,-5349.83) (-661.299,3119.19) (-990.386,-2191.73) (397.056,414.479) (-988.306,-3214.05) (-685.348,-1830.32) (-1385.74,494.918) (10.1297,1262.99) (-2349.79,2078.17) (-1533.65,-4633.34) (-2536.92,-1051.38) (-66.8178,-2018.82) (1435.32,-2147.45) (-161.908,6.47361) (261.434,-1070.78) (927.067,-1032.33) (401.354,1081.45) (-981.693,-1173.66) (2623.18,-1376.2) (959.209,722.163) (-490.885,-150.199) (-1038.18,-1111) (1032.97,-1283.41) (-690.003,-2421.95) (2166.73,-1759.35) (-126.672,-676.219) (-48.3158,-634.192) (246.404,-494.164) (-37.1785,-681.31) (-446.717,-1714.11) (892.239,-1127.15) (-627.281,-465.676) (1149.63,-2208.29) (-1135.27,-710.555) (573.967,-1822.63) (-188.108,-3485.41) (534.745,-936.838) (2600.95,-646.13) (-316.339,-2576.98) (417.982,-900.249) (1972.95,-52.0712) (-1649.27,-951.016) (1874.75,-2100.5) (537.858,-442.063) (957.934,-4085.69) (1601.1,-172.387) (-419.047,904.869) (2998.33,-4569.73) (3247.19,50.4724) (3011.3,1235.47) (3297.73,-3452.93) (-1151.13,6192.07) (-1282.32,-15.3608) (3472.06,-6970.88) (441.86,4477.18) (2508.51,803.396) (-1844.65,4034.56) (-982.542,-1342.49) (-34.558,-3838.97) (-91.0812,-1124.66) (3671.55,2391.28) (-1176.93,965.837) (8033.6,4797.58) (-5511.73,-88.4815) (-1511.25,4711.83) (-6836.31,-801.754) (798.698,-5328.05) (2009.7,678.028) (1507.23,-12980.1) (-3496.92,2823.5) (8979.36,-2712.53) (4328.08,-12184.9) (4927.88,1812.18) (9967.29,3682.07) (68.7021,-3483.48) (5656.27,2615.3) (205.798,1434.16) (11230.1,-5068.49) (-7507.54,2310.71) (6551.43,-5748.22) (6896.05,4146.39) (-2660.31,-11411.5) (11124.8,7254.7) (1745.7,-8947.28) (9964.24,3627.71) (25303.3,26288.4) (19316.4,2383.04) (-23594.6,3330.59) (24429,19457.2) (644.074,2196.14) (25997.3,44007.7) (6032.4,13971.8) (-14064.1,25743.6) (-15618.8,4870.16) (17126.8,62872.8) (13972.4,25183.3) (-111620,-198265) 
(39527.2,-18983.3) (19007.8,15815.6) (17251.6,-14301.9) (-27175.4,-4567.06) (37202.3,-22187.7) (38661.7,15920.2) (8385.17,-11986.1) (-4893.42,9052.95) (7232.08,4860.35) (3663.06,-520.37) (8982.12,-820.104) (7267.96,10798.3) (-6128.3,2642.6) (-2144.66,-96.0634) (5182.55,-1085.38) (4891.32,-2244.77) (7572.45,3980.23) (2487.4,2694.45) (2934.12,5904.86) (1296.76,2979.2) (6280.84,3327.38) (375.45,431.599) (872.818,1409.55) (3298.06,2576.73) (2066.19,-256.16) (-803.125,741.153) (4408.8,295.199) (1439.25,897.902) (2905.82,2202.29) (1175.84,907.156) (1835.09,4603.8) (-3124.63,1298.83) (965.882,-910.778) (-243.421,3879.63) (434.862,1908.13) (4035.81,2023.9) (-1743.89,2940.5) (116.64,1538.92) (1460.1,330.367) (4101.49,447.651) (-216.658,4947.01) (1040,2981.54) (410.281,3927.25) (-1562.14,3728.7) (1972.65,2063.8) (-250.919,3842.76) (-771.057,2371.38) (-57.3782,1005) (209.545,2138.95) (-1058.31,1180.7) (-421.812,650.348) (1372.87,946.85) (821.241,3086.75) (733.201,660.29) (-110.58,3641.45) (-1367.65,497.925) (-580.283,2487.16) (-245.117,2136.73) (-273.891,1691.18) (425.541,1349.22) (41.8259,2127.73) (-170.698,1805.19) (2120.38,1581.39) (-1676.1,1362.59) (1020.73,1764.2) (801.441,2521.73) (-1422.2,4133.27) (853.897,2856.66) (-944.858,-166.141) (-928.315,2711.78) (-1259.4,2177.58) (-1168.1,241.466) (1300.32,2397.29) (-860.864,2456.07) (-759.902,333.628) (-3216.26,3922.23) (-1271.64,1304.88) (1020.79,416.205) (-4661.31,4568.17) (-1966.21,717.497) (-2750.79,-367.734) (-8683.41,2833.13) (1440.9,-1033.07) (2946.84,-2390.42) (-8245.7,3517.38) (2201.89,95.2227) (-2074.91,538.73) (-811.483,1388.56) (-4544.69,3254.43) (-4190.49,-927.387) (-32.9877,3721.7) (-4329.57,-867.143) (-1150.76,5277.39) (-2923.3,-4019.71) (-1572.05,1990.73) (439.134,34.6951) (1871.51,4497.04) (3021.97,4746.96) (1266.62,438.519) (-5735.45,8602.95) (1687.56,7500.84) (-1784.61,2426.83) (-5199.79,9019.98) (-945.292,1995.93) (-5357.95,-5685.64) (-888.841,7961.07) (-5444.13,-2290.73) (1136.13,819.84) (-5231.53,1152.26) (321.123,26.9921) (-11400.6,8410.74) (-3942.86,-5551.79) (-1713.31,9093.77) (-8428.82,-7516.33) (-16287.8,12227.3) (-15228.9,4567.83) (-6707.83,-13918.7) (-9168.89,-12613.1) (-11897.8,11045.7) (897.54,9556.64) (-30695,6160.25) (-6098.93,-38032.2) (-2755.54,-15231.5) (-15194.7,-15934.2) (-33789.7,6359.12) (2137.86,23549.4) (-57740.7,-93478.8) (73720.6,36325.6) 
(-3615.97,22155.7) (12475.7,-8409.37) (1959.07,-18863.4) (6143.84,49804.2) (-11155.9,11758.5) (-2456.83,-12351.4) (-14041.8,-12081.8) (8852.98,13915.2) (7116.56,-12245.7) (6812.99,10860.8) (-9053.11,4259.48) (199.72,-6979.83) (9183.9,8167.78) (-1916.61,8445.82) (4042.59,9247.43) (413.422,5734.02) (-322.074,1363.43) (40.3297,2193.69) (669.408,526.556) (4493.67,3800.75) (1217.33,-754.007) (380.003,1593.65) (2146.73,3642.01) (2029.16,3385.85) (444.87,-1027.93) (935.17,3119.53) (-140.182,1313.24) (-1257.08,2488.11) (-22.4934,-450.451) (-4258.83,1540.2) (-1309.61,-1498.44) (1690.96,89.0718) (-3634.72,2102.4) (734.61,-448.346) (-1034.23,2360.02) (-35.8544,-284.895) (-772.171,2982.24) (-1995.66,1398.59) (-2046.62,2160.13) (-4210.31,1070.62) (-1820.02,760.249) (-2499.78,98.2468) (-166.477,-1386.37) (584.547,1484.68) (-2190,968.429) (-1154.82,1707.57) (608.195,-138.316) (-1683,1705.14) (-246.876,1071.81) (488.371,1114.46) (-1061.12,2900.97) (-1874.17,1138.78) (-289.037,1413.94) (-2361.88,869) (-374.219,654.602) (-793.946,1659.29) (-55.1139,629.065) (198.786,1145.28) (-1035.67,2022.77) (-1937,1190.81) (-1108.84,1012.59) (-932.176,117.785) (-1750.52,-485.466) (-889.14,1974.11) (-1517.05,250.87) (-3321.41,-636.148) (-117.409,-195.314) (-372.685,-1737.29) (-1934.21,674.15) (56.359,-724.476) (-283.919,1621.45) (-747.451,2361.73) (-2747.64,-1091.71) (-1362.1,-1140.15) (-2407.95,-936.494) (-24.4869,-1576.46) (-207.249,590.646) (-3500.34,-7.56349) (1885.94,-805.425) (-494.034,-2142.12) (-575.182,-952.308) (3841.55,3323.55) (976.457,1207.57) (-9363.65,-903.767) (2735.91,1300.19) (-4086.67,-1429.5) (-1493.78,-78.6739) (-2836.61,1438.3) (-465.158,-2775.74) (369.355,3173.93) (-2723.12,-964.553) (683.692,1214.27) (-3570.12,-1028.11) (-2010.21,2282.54) (-2825.05,3063.33) (-3031.52,1608.38) (-3411.55,4280.4) (-4158.41,-3704.51) (-5948.2,-2766.01) (-5537.86,-509.566) (1433.65,-2282.93) (-2879.7,-2769.82) (3108.45,-3398.85) (-3773.61,-3339.68) (-4107.3,4894.05) (-411.27,-8388.48) (-914.273,326.055) (-5957.17,-1854.72) (-1445.96,-7209.12) (-8467.96,-3421.04) (4318.94,-4732.53) (-5894.02,-1073.84) (-5919.56,-10820.1) (-14989.4,-3430.07) (7259.98,-1534.68) (1171.16,-3607.04) (-4681.75,1782.36) (-15940.3,-6502.91) (-13139.8,-7848.23) (5609.56,-40960.1) (41193.5,-4929.56) (15407.4,2910.79) (-14575.6,2995.22) (-8071.42,18041.4) (-13598.9,32895.4) (1787.57,-13669.7) (47787.9,1237.27) (37907.6,32047.4) 
(23366.9,-24774.2) (3017.63,917.307) (9599.15,1580.77) (18724.6,9494.56) (13358,-9590.76) (13043.6,4569.9) (-3133.67,8895.23) (18419.2,-4861.69) (-13567.8,8830.19) (2426.07,498.241) (3335.92,-247.753) (-6337.74,9317.93) (-6920.64,-7527.22) (4784.65,4607.08) (111.719,-4476.98) (3463.58,471.551) (-2243.12,1134.13) (462.497,1045.19) (-2160.02,4571) (-1595.89,-4190.67) (-1568.39,1381.05) (-2638.52,1955.6) (231.62,2456.87) (-2442.2,-4561.81) (64.999,-1185.18) (-551.427,-2702.85) (2538.14,-2142.17) (1961.62,1838.55) (-928.35,139.994) (473.071,302.346) (-1728.09,782.983) (-2069.84,-30.1219) (2763.39,-2180.12) (-458.548,769.209) (-136.585,-2197.38) (1150.59,2024.79) (-1049.12,581.249) (-352.366,-1363.76) (1161.03,-393.835) (2078.07,224.07) (133.463,1787.25) (1286.82,1742.72) (-1425.47,1555.6) (-1213.43,669.251) (1405.98,1513.79) (1015.07,1676.05) (-1112.46,724.146) (-499.955,1716.17) (589.727,-779.099) (-1351.49,414.566) (429.662,-459.643) (-597.964,428.28) (-278.2,-927.854) (760.87,-132.419) (-893.107,93.6001) (176.188,-147.833) (-384.078,544.615) (-1505.22,-1359.11) (-31.9394,388.817) (421.407,259.045) (1390.29,584.126) (-632.097,-178.493) (-204.128,1732.61) (590.523,-799.122) (-561.136,-597.617) (815.507,2536.6) (912.898,-427.289) (-365.897,1175.91) (727.925,630.508) (-1391.81,890.991) (108.734,167.175) (776.788,-1004.05) (449.965,292.718) (-150.679,988.261) (543.928,1041.1) (-669.694,1983.26) (-941.615,-219.644) (1370.02,665.906) (-1452.48,-526.339) (-1702.91,645.219) (-889.43,2413.03) (-936.474,-2039.57) (-1568.48,-3693.4) (897.674,3464.64) (-1988.44,-4452.72) (675.972,1882.96) (296.163,-683.556) (-1751.2,582.917) (-4039.01,-727.934) (-2869.76,-1268.18) (992.236,1483.6) (-109.767,-2492.9) (-1382.19,-395.284) (-27.8494,347.539) (1416.28,-1324.26) (801.203,3221.22) (1637.41,-2814.54) (235.384,1960.2) (-4052.85,-621.495) (3832.32,4621.36) (661.73,-566.784) (-913.254,383.438) (349.177,-105.504) (-304.374,1616.72) (2437.22,752.423) (-2315.96,4575.1) (1480.19,-3435.5) (-2507.22,-2866.99) (650.794,3905.54) (-1844.24,2376.6) (-5536.88,-4733.15) (-6357.96,-698.659) (604.833,-4964.85) (5572.77,8265.8) (-1414.94,3783.99) (495.584,865.97) (-4675.12,-9245.57) (-2492.02,3279.25) (12098.8,1595.1) (-7921.44,15329.4) (-5938.09,-23786.2) (-1832.19,-26043.8) (22810.6,28068.2) (-6295.42,15536.9) (13258.1,-9044.4) (23851.9,24261.6) (-80130.1,65323.8) (27518.1,-12414.1) 
(-12251.9,1696.56) (-18158.6,21242.3) (-393.419,-19587.6) (7404.06,1515.59) (-7057.31,-5878.09) (212.407,-9885.13) (-1549.9,-5523.46) (-10854.2,-2125.14) (2907.29,-6102.44) (3474.52,-4210.05) (-6022.42,79.862) (8507.37,-3902.48) (-82.8013,9221.67) (649.217,-2719.06) (846.369,2248.54) (2369.44,-3048.8) (1751.34,-42.7775) (1311.28,-1294.73) (3990.41,-2461.22) (3422.2,3568.99) (2296.95,1121.48) (2080.25,432.141) (3875.3,-4324.31) (-565.261,3622.92) (2331.27,-3057.36) (1759.43,3935.51) (-424.632,-1222.33) (666.365,-1230.82) (449.662,703.144) (-741.831,-172.547) (110.87,979.533) (-297.137,617.831) (-958.75,2531.09) (349.748,-87.0594) (888.219,108.794) (-1371.59,784.931) (-59.2428,-39.694) (-260.164,1315.4) (-892.579,-590.239) (-786.753,1966.84) (-1450.88,918.722) (-375.372,-1586.62) (192.934,33.1409) (1330.09,734.364) (47.145,6.85912) (-127.156,-525.695) (1715.26,-102.215) (1058.82,600.433) (-851.113,-122.309) (1585.08,812.701) (305.492,-487.476) (1699.71,159.721) (901.587,1442.35) (-227.141,212.602) (427.916,1440.36) (-554.3,444.734) (1181.1,-771.725) (-219.23,1325.24) (220.104,1368.76) (-107.842,771.984) (-607.965,-361.37) (158.704,-68.9727) (701.27,379.903) (-364.358,-220.467) (-144.34,2190.09) (623.171,70.2814) (-1576.75,-1101.81) (-246.622,647.163) (-597.218,-146.385) (1016.69,676.035) (372.211,1037.26) (-561.59,357.747) (-1190.27,445.147) (-600.248,228.984) (-118.898,147.004) (1298.42,-749.39) (242.517,872.788) (-267.304,867.793) (-741.717,853.853) (606.639,1167.86) (1445.94,-648.464) (691.257,-849.289) (-553.26,2942.21) (694.988,-1222.36) (-2338.57,1297.31) (1741.1,-1327.8) (-626.695,-1068.68) (-220.691,3081.69) (1301.24,396.133) (570.297,3051.41) (-2042.85,525.992) (88.827,3268.08) (-134.277,2005.53) (276.724,2982.49) (-1867.35,2442.91) (1977.12,69.724) (-2270.17,2701.94) (-702.794,-1326.77) (188.063,6077.69) (161.119,-1004.95) (839.612,-413.711) (838.4,2356.79) (-2912.12,1035.86) (-3283.68,197.061) (-353.079,-601.364) (1556.53,-1797.21) (-162.089,-5119.04) (-1616.44,6822.53) (76.0548,-5659.19) (3048.21,-392.716) (-2168.71,-38.6548) (7486.68,6878.43) (-6451.81,5783.31) (-5267.14,1742.68) (10347,10473) (-5698.07,-2714.41) (-10255.1,13831.2) (-4679.03,14437) (-16718.9,-7489.33) (-1302.62,-5965.76) (-20148.6,-1345.54) (-16349.8,-938.988) (-17050.9,-36727.7) (18481.8,-16155.1) (25403.8,-19007.8) (-92473.8,26098.2) (-26517,-4144.69) (44546,19038.7) 
